filename,class_label,split,group_id,relative_path,file_size_bytes
angry_00001.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001.jpg,22910
angry_00001_brightness_30.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001_brightness_30.jpg,25797
angry_00001_color_jitter.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001_color_jitter.jpg,23940
angry_00001_contrast_40.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001_contrast_40.jpg,26321
angry_00001_horizontal_flip.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001_horizontal_flip.jpg,22809
angry_00001_rotation_15.jpg,angry,train,angry_00001,data\image_processed\angry\angry_00001_rotation_15.jpg,22226
angry_00002.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002.jpg,19508
angry_00002_brightness_30.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002_brightness_30.jpg,21784
angry_00002_color_jitter.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002_color_jitter.jpg,19959
angry_00002_contrast_40.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002_contrast_40.jpg,21695
angry_00002_horizontal_flip.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002_horizontal_flip.jpg,19622
angry_00002_rotation_15.jpg,angry,train,angry_00002,data\image_processed\angry\angry_00002_rotation_15.jpg,20166
angry_00004.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004.jpg,21005
angry_00004_brightness_30.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004_brightness_30.jpg,23647
angry_00004_color_jitter.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004_color_jitter.jpg,21609
angry_00004_contrast_40.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004_contrast_40.jpg,22641
angry_00004_horizontal_flip.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004_horizontal_flip.jpg,21041
angry_00004_rotation_15.jpg,angry,train,angry_00004,data\image_processed\angry\angry_00004_rotation_15.jpg,20730
angry_00005.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005.jpg,19233
angry_00005_brightness_30.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005_brightness_30.jpg,21688
angry_00005_color_jitter.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005_color_jitter.jpg,19233
angry_00005_contrast_40.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005_contrast_40.jpg,21712
angry_00005_horizontal_flip.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005_horizontal_flip.jpg,19160
angry_00005_rotation_15.jpg,angry,train,angry_00005,data\image_processed\angry\angry_00005_rotation_15.jpg,19237
angry_00008.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008.jpg,26409
angry_00008_brightness_30.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008_brightness_30.jpg,27752
angry_00008_color_jitter.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008_color_jitter.jpg,27228
angry_00008_contrast_40.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008_contrast_40.jpg,29631
angry_00008_horizontal_flip.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008_horizontal_flip.jpg,26417
angry_00008_rotation_15.jpg,angry,train,angry_00008,data\image_processed\angry\angry_00008_rotation_15.jpg,26363
angry_00009.jpg,angry,train,angry_00009,data\image_processed\angry\angry_00009.jpg,20875
angry_00009_brightness_30.jpg,angry,train,angry_00009,data\image_processed\angry\angry_00009_brightness_30.jpg,23526
angry_00009_color_jitter.jpg,angry,train,angry_00009,data\image_processed\angry\angry_00009_color_jitter.jpg,21597
